"None","none","No digital signature or MAC performed","RFC7518, Section 3.6"
"HS256","HS256","HMAC using SHA-256","RFC7518, Section 3.2"
"HS384","HS384","HMAC using SHA-384","RFC7518, Section 3.2"
"HS512","HS512","HMAC using SHA-512","RFC7518, Section 3.2"
"RS256","RS256","RSASSA-PKCS1-v1_5 using SHA-256","RFC7518, Section 3.3"
"RS384","RS384","RSASSA-PKCS1-v1_5 using SHA-384","RFC7518, Section 3.3"
"RS512","RS512","RSASSA-PKCS1-v1_5 using SHA-512","RFC7518, Section 3.3"
"PS256","PS256","RSASSA-PSS using SHA-256 and MGF1 with SHA-256","RFC7518, Section 3.5"
"PS384","PS384","RSASSA-PSS using SHA-384 and MGF1 with SHA-384","RFC7518, Section 3.5"
"PS512","PS512","RSASSA-PSS using SHA-512 and MGF1 with SHA-512","RFC7518, Section 3.5"
"Rsa15","RSA1_5","RSAES-PKCS1-v1_5","RFC7518, Section 4.2"
"RsaOeap","RSA-OAEP","RSAES OAEP using default parameters","RFC7518, Section 4.3"
"RsaOeap256","RSA-OAEP-256","RSAES OAEP using SHA-256 and MGF1 with SHA-256","RFC7518, Section 4.3"
"ES256","ES256","ECDSA using P-256 and SHA-256","RFC7518, Section 3.4"
"ES256K","ES256K","ECDSA using secp256k1 curve and SHA-256","RFC8812, Section 3.2"
"ES384","ES384","ECDSA using P-384 and SHA-384","RFC7518, Section 3.4"
"ES512","ES512","ECDSA using P-521 and SHA-512","RFC7518, Section 3.4"
"EdDSA","EdDSA","EdDSA signature algorithms","RFC8037, Section 3.1"
"EcdhEs","ECDH-ES","ECDH-ES using Concat KDF","RFC7518, Section 4.6"
"EcdhEsA128Kw","ECDH-ES+A128KW","ECDH-ES using Concat KDF and ""A128KW"" wrapping","RFC7518, Section 4.6"
"EcdhEsA192Kw","ECDH-ES+A192KW","ECDH-ES using Concat KDF and ""A192KW"" wrapping","RFC7518, Section 4.6"
"EcdhEsA256Kw","ECDH-ES+A256KW","ECDH-ES using Concat KDF and ""A256KW"" wrapping","RFC7518, Section 4.6"
"A128Kw","A128KW","AES Key Wrap using 128-bit key","RFC7518, Section 4.4"
"A192Kw","A192KW","AES Key Wrap using 192-bit key","RFC7518, Section 4.4"
"A256Kw","A256KW","AES Key Wrap using 256-bit key","RFC7518, Section 4.4"
"A128GcmKw","A128GCMKW","Key wrapping with AES GCM using 128-bit key","RFC7518, Section 4.7"
"A192GcmKw","A192GCMKW","Key wrapping with AES GCM using 192-bit key","RFC7518, Section 4.7"
"A256GcmKw","A256GCMKW","Key wrapping with AES GCM using 256-bit key","RFC7518, Section 4.7"
"Pbes2HS256+A128Kw","PBES2-HS256+A128KW","PBES2 with HMAC SHA-256 and ""A128KW"" wrapping","RFC7518, Section 4.8"
"Pbes2HS384+A192Kw","PBES2-HS384+A192KW","PBES2 with HMAC SHA-384 and ""A192KW"" wrapping","RFC7518, Section 4.8"
"Pbes2HS512+A256Kw","PBES2-HS512+A256KW","PBES2 with HMAC SHA-512 and ""A256KW"" wrapping","RFC7518, Section 4.8"
"Direct","dir","Direct use of a shared symmetric key","RFC7518, Section 4.5"
